tag0,tag1,Score
performance,memory,2
performance,cpu,2
performance,speed,2
usb,firewire,2
usb,charging,2
usb,adapter,2
usb,led,2
usb,esata,2
usb,pci-express,2
laptop,display,2
laptop,power,2
laptop,power-supply,2
laptop,charging,2
laptop,battery,2
laptop,charger,2
laptop,fan,2
laptop,battery-life,2
laptop,cooling,2
64-bit,32-bit,2
drivers,graphics-card,2
memory,cpu,2
memory,upgrade,2
memory,memory-management,2
memory,memory-leaks,2
memory,virtual-memory,1
memory,pagefile,2
memory,ramdisk,2
freeze,crash,2
freeze,cooling,3
crash,reboot,2
crash,bsod,2
display,resolution,2
display,hdmi,2
display,lcd,2
display,vga,2
display,brightness,2
display,dvi,2
troubleshooting,post,2
operating-systems,32-bit,2
operating-systems,virtual-memory,2
cpu,xeon,2
cpu,overclocking,2
cpu,cpu-speed,2
cpu,overheating,2
cpu,temperature,2
cpu,threads,2
cpu,fan,2
cpu,computer-architecture,2
cpu,cooling,2
cpu,heatsink,2
bios,motherboard,2
bios,cmos,2
bios,post,2
graphics-card,resolution,2
graphics-card,gpu,2
graphics-card,motherboard,2
graphics-card,power-supply,2
graphics-card,hdmi,2
graphics-card,vga,2
graphics-card,pci-express,2
graphics-card,dvi,2
resolution,hdmi,2
resolution,projector,2
resolution,vga,2
resolution,dvi,2
hardware-failure,post,2
compatibility,pci-express,2
speed,cpu-speed,2
gpu,power-supply,2
gpu,overclocking,2
gpu,overheating,2
gpu,temperature,2
gpu,fan,2
gpu,pci-express,2
cache,computer-architecture,2
cache,virtual-memory,2
cache,ramdisk,2
sleep,suspend,2
sleep,power-management,2
sleep,standby,2
thinkpad,docking-station,2
io,diagnostic,2
io,chipset,2
io,benchmarking,2
io,top,2
power-supply,battery,2
power-supply,voltage,2
power-supply,post,2
power-supply,fan,2
power-supply,ups,2
gaming,graphics,2
gaming,directx,2
suspend,acpi,2
suspend,standby,2
x86,chipset,2
acpi,backlight,2
acpi,standby,2
acpi,brightness,2
hibernate,wake-up,2
hibernate,swap,2
charging,charger,2
charging,voltage,2
diagnostic,maintenance,2
diagnostic,post,2
toshiba-laptop,led,2
toshiba-laptop,overheating,2
toshiba-laptop,charger,2
toshiba-laptop,brightness,2
adapter,connector,2
adapter,pata,2
adapter,charger,2
adapter,voltage,2
adapter,vga,2
adapter,pci-express,2
adapter,dvi,2
wake-up,docking-station,2
wake-up,standby,2
netbook,battery-life,2
maintenance,cleaning,2
battery,charger,2
battery,voltage,2
battery,cmos,2
battery,ups,2
pci,computer-architecture,2
memory-leaks,virtual-memory,2
memory-leaks,pagefile,2
fan,case,2
fan,heatsink,2
computer-architecture,virtual-memory,2
case,heatsink,2
vga,dvi,2
cooling,heatsink,2
swap,virtual-memory,2
swap,pagefile,2
swap,ramdisk,2
virtual-memory,pagefile,2
linux,ubuntu,1
linux,debian,2
linux,fedora,3
linux,opensuse,3
ubuntu,kernel-panic,2
ubuntu,init,2
ubuntu,automount,2
ubuntu,gnome,2
ubuntu,sudo,2
ubuntu,emulation,2
ubuntu,sandbox,2
ubuntu,cron,2
ubuntu,kde,2
ubuntu,packages,2
ubuntu,chroot,2
ubuntu,users,2
ubuntu,wine,2
ubuntu,nautilus,2
ubuntu,apt,2
ubuntu,crontab,2
ubuntu,cups,2
ubuntu,aptitude,2
debian,raspberry-pi,2
debian,gnome,2
debian,packages,2
debian,chroot,2
debian,arm,2
debian,apt,2
debian,repository,2
debian,aptitude,2
centos,init,2
centos,headless,2
centos,automount,2
centos,gnome,2
centos,tty,2
centos,sudoers,2
centos,crontab,2
centos,yum,2
centos,rpm,2
fedora,automount,2
fedora,gnome,2
fedora,kernel,2
fedora,dependencies,2
fedora,kde,2
fedora,nautilus,2
fedora,yum,2
fedora,rpm,2
virtual-machine,virtualization,2
virtual-machine,vagrant,2
virtual-machine,snapshot,2
virtual-machine,xen,2
raspberry-pi,vnc,2
raspberry-pi,tty,2
raspberry-pi,arm,2
raspberry-pi,cups,2
kernel-panic,init,2
kernel-panic,sudoers,2
headless,daemon,2
kernel,dependencies,2
kernel,tty,2
kernel,chroot,2
kernel,gentoo,2
virtualization,emulation,2
virtualization,sandbox,2
virtualization,vagrant,2
virtualization,xen,2
sudo,root,2
sudo,daemon,2
sudo,tty,2
sudo,sudoers,2
root,daemon,2
root,users,2
root,sudoers,2
gui,kde,2
gui,daemon,2
gui,themes,2
gui,qt,2
gui,window-manager,2
opensuse,dependencies,2
opensuse,kde,2
opensuse,packages,2
opensuse,qt,2
opensuse,wine,2
opensuse,cups,2
opensuse,xen,2
opensuse,rpm,2
dependencies,apt,2
dependencies,yum,2
dependencies,aptitude,2
dependencies,rpm,2
cron,crontab,2
cron,snapshot,2
kde,backtrack,2
kde,tty,2
kde,qt,2
kde,gentoo,2
kde,cinnamon,2
kde,window-manager,2
packages,apt,2
packages,repository,2
packages,yum,2
packages,aptitude,2
packages,rpm,2
users,sudoers,2
themes,qt,2
themes,cinnamon,2
windows,licensing,2
windows-registry,context-menu,2
windows-explorer,context-menu,2
windows-explorer,thumbnails,2
updates,service-pack,2
downgrade,licensing,2
downgrade,product-key,2
shortcuts,icons,2
shortcuts,taskbar,2
safe-mode,virus-removal,2
drag-and-drop,right-click,2
drag-and-drop,file-types,2
virus-removal,trojan,2
networking,router,2
networking,vpn,2
router,wireless-router,1
internet,connection,1
connection,bridge,3
ip,protocol,3
protocol,tcp,3
cable-modem,modem,3
mobile-phone,phone,3
mobile-phone,phone,3
command-line,bash,2
command-line,batch,2
command-line,batch-file,2
bash,terminal,2
bash,script,2
bash,shell,1
bash,shell-script,2
bash,sed,2
terminal,shell,2
terminal,xterm,2
script,shell,2
script,batch,2
script,shell-script,2
script,batch-file,2
unix,shell,2
unix,shell-script,2
unix,aix,2
unix,find,2
unix,solaris,2
shell,sh,2
shell,fish,2
batch,batch-file,2
batch,rename,2
cygwin,xterm,2
cygwin,mingw,2
shell-script,sh,2
shell-script,sed,2
shell-script,awk,2
path,environment-variables,2
vim,text-editors,2
vim,buffer,2
vim,syntax-highlighting,2
vim,vi,2
emacs,latex,2
ascii,ps,2
aix,su,2
aix,ps,2
timestamp,mv,2
timestamp,command-history,2
timestamp,cat,2
timestamp,ps,2
gnu,less,2
syntax,markdown,2
syntax,wildcards,2
xterm,buffer,2
xterm,less,2
text-editors,markdown,2
text-editors,syntax-highlighting,2
filenames,rename,2
su,command-history,2
autocomplete,fish,2
buffer,cat,2
regex,find,2
regex,grep,2
regex,text-editing,2
regex,wildcards,2
regex,sed,2
regex,awk,2
alias,sh,2
less,cat,2
less,fish,2
find,grep,2
find,ls,2
find,cp,2
find,pipe,2
sh,fish,2
sh,ps,2
grep,ps,2
grep,pipe,2
grep,sed,2
grep,awk,2
ls,rm,2
unicode,characters,2
kill,ps,2
character-encoding,characters,2
pipe,awk,2
text-editing,sed,2
text-editing,awk,2
text-editing,vi,2
sed,awk,2
solaris,vi,2
boot,uefi,2
boot,grub,2
boot,bootloader,2
hard-drive,ssd,2
hard-drive,partitioning,2
hard-drive,data-recovery,2
hard-drive,raid,2
hard-drive,smart,2
backup,disk-image,2
filesystems,mount,2
filesystems,ntfs,2
filesystems,fsck,2
filesystems,exfat,2
ssd,partitioning,2
ssd,raid,2
ssd,trim,2
mount,ntfs,2
mount,read-only,2
partitioning,multi-boot,2
partitioning,ntfs,2
partitioning,gpt,2
partitioning,mbr,2
data-recovery,ntfs,2
data-recovery,forensics,2
data-recovery,sd-card,2
data-recovery,file-recovery,2
usb-flash-drive,formatting,2
usb-flash-drive,read-only,2
usb-flash-drive,write-protect,2
multi-boot,uefi,2
multi-boot,grub,2
multi-boot,bootloader,2
multi-boot,efi,2
multi-boot,mbr,2
formatting,exfat,2
formatting,sd-card,2
ntfs,exfat,2
ntfs,chkdsk,2
ntfs,defragment,2
fsck,exfat,2
storage,raid,2
storage,sd-card,2
exfat,wipe,2
restore,disk-image,2
forensics,floppy,2
forensics,recycle-bin,2
raid,mirroring,2
raid,ahci,2
raid,trim,2
raid,hard-drive-failure,2
uefi,grub,2
uefi,bootloader,2
uefi,efi,2
uefi,gpt,2
uefi,mbr,2
format,sd-card,2
format,read-only,2
format,write-protect,2
clone,dd,2
clone,disk-image,2
grub,bootloader,2
grub,efi,2
grub,mbr,2
repair,write-protect,2
repair,bcd,2
sd-card,dd,2
sd-card,write-protect,2
sd-card,file-recovery,2
read-only,write-protect,2
read-only,hard-drive-failure,2
drive-letter,bcd,2
dd,floppy,2
dd,disk-image,2
bootloader,efi,2
bootloader,mbr,2
bootloader,bcd,2
efi,gpt,2
efi,bcd,2
file-recovery,recycle-bin,2
mbr,bcd,2
trim,defragment,2
trim,recycle-bin,2
python,pip,2
java,eclipse,2
java,minecraft,2
java,jdk,2
java,jre,2
source-code,json,2
source-code,documentation,2
docker,jenkins,2
docker,container,2
docker,kubernetes,2
database,postgresql,2
database,sql-server,2
database,odbc,2
database,sql,2
debug,development,2
debug,ide,2
plugins,eclipse,2
plugins,ide,2
plugins,jenkins,2
azure,asp.net,2
azure,sql,2
azure,kubernetes,2
eclipse,ide,2
eclipse,jdk,2
eclipse,jre,2
eclipse,maven,2
c,code,2
c,make,2
c,gcc,2
version,jdk,2
version,documentation,2
version,pip,2
libraries,make,2
libraries,gcc,2
libraries,pip,2
compile,gcc,2
build,gcc,2
minecraft,jdk,2
minecraft,maven,2
api,odbc,2
api,asp.net,2
api,documentation,2
make,gcc,2
deployment,jenkins,2
deployment,kubernetes,2
postgresql,odbc,2
postgresql,sql,2
sql-server,ssms,2
sql-server,cluster,2
sql-server,odbc,2
sql-server,asp.net,2
sql-server,query,2
sql-server,sql,2
sql-server,microsoft-access,2
cluster,ansible,2
cluster,kubernetes,2
installer,jdk,2
installer,jre,2
installer,chocolatey,2
jdk,maven,2
r,anaconda,2
jenkins,kubernetes,2
jenkins,maven,2
sql,microsoft-access,2
ansible,kubernetes,2
ansible,chocolatey,2
kubernetes,maven,2
anaconda,pip,2
firefox,browser,2
firefox,bookmarks,2
browser,internet-explorer,2
browser,javascript,2
browser,website,2
browser,web,2
browser,privacy,2
browser,safari,2
browser,webpage,2
browser,cookies,2
browser,opera,2
download,website,2
web-application,webpage,2
web-application,internet-security,2
html,javascript,2
html,website,2
html,web-development,2
html,web,2
html,session,2
html,geolocation,2
html,flash,2
html,fullscreen,2
html,safari,2
html,css,2
html,webpage,2
html,chromium,2
html,html5,3
html,html5,3
browsing,advertisements,2
browsing,adware,2
browsing,localization,2
internet-explorer,adware,2
internet-explorer,tracking,2
internet-explorer,tabs,2
internet-explorer,search-engines,2
internet-explorer,cookies,2
internet-explorer,address-bar,2
internet-explorer,download-manager,2
advertisements,adware,2
javascript,web,2
javascript,css,2
website,web-development,2
website,web,2
website,blocking,2
website,webpage,2
web-development,css,2
web,css,2
web,cookies,2
privacy,geolocation,2
privacy,tracking,2
privacy,facebook,2
privacy,history,2
privacy,cookies,2
session,cookies,2
blocking,popups,2
blocking,facebook,2
open-source,geolocation,2
open-source,tracking,2
open-source,spyware,2
geolocation,localization,2
geolocation,address-bar,2
links,tracking,2
tracking,spyware,2
fullscreen,kiosk,2
fullscreen,toolbar,2
user-interface,toolbar,2
popups,address-bar,2
tabs,safari,2
tabs,opera,2
safari,cookies,2
safari,bookmarks,2
css,webpage,2
facebook,cookies,2
history,address-bar,2
chromium,search-engines,2
chromium,opera,2
chromium,kiosk,2
chromium,bookmarks,2
chromium,address-bar,2
search-engines,address-bar,2
opera,bookmarks,2
toolbar,address-bar,2
audio,aac,2
audio,flac,2
audio,recording,2
audio,audacity,2
audio,microphone,2
audio,audio-recording,2
audio,sound-card,2
audio,headset,2
audio,speakers,2
audio,headphones,2
video,conversion,2
video,flv,2
video,encoding,2
video,editing,2
video,video-streaming,2
video,avi,2
video,quicktime,2
video,recording,3
video,codec,2
video,subtitles,2
video,handbrake,2
conversion,flv,2
conversion,encoding,2
conversion,avi,2
conversion,flac,2
conversion,wav,2
conversion,handbrake,2
skype,webcam,2
skype,microphone,2
streaming,media,2
streaming,youtube,2
streaming,tv,2
streaming,video-streaming,2
streaming,webcam,2
streaming,music,2
streaming,recording,2
dvd,encoding,2
dvd,media,2
dvd,avi,2
dvd,compact-disc,2
dvd,subtitles,2
dvd,blu-ray,2
dvd,burning,2
dvd,handbrake,2
ipod-touch,podcasts,2
ipod-touch,ipod,3
metadata,media,2
metadata,aac,2
metadata,tags,2
metadata,music,2
metadata,quicktime,2
metadata,flac,2
metadata,wav,2
encoding,ripping,2
encoding,aac,2
encoding,editing,2
encoding,avi,2
encoding,codec,2
encoding,subtitles,2
encoding,handbrake,2
media,tags,2
media,htpc,2
media,codec,2
media,media-player,2
media,blu-ray,2
ripping,aac,2
ripping,handbrake,2
youtube,video-streaming,2
youtube,subtitles,2
aac,flac,2
tags,flac,2
editing,avi,2
editing,subtitles,2
editing,audacity,2
htpc,blu-ray,2
tv,recording,2
tv,kodi,2
video-streaming,webcam,2
video-streaming,recording,2
video-streaming,codec,2
video-streaming,video-capture,2
webcam,recording,2
webcam,camera,1
webcam,video-capture,2
webcam,microphone,2
music,flac,2
music,recording,2
music,compact-disc,2
music,media-player,2
music,ipod,2
avi,handbrake,2
flac,wav,2
flac,audacity,2
recording,screen-capture,2
recording,video-capture,2
recording,audacity,2
recording,microphone,2
recording,audio-recording,1
recording,headset,2
kodi,podcasts,2
compact-disc,blu-ray,2
compact-disc,burning,2
screen-capture,video-capture,2
screen-capture,audio-recording,2
codec,media-player,2
media-player,subtitles,2
camera,video-capture,2
subtitles,handbrake,2
audacity,podcasts,2
microphone,audio-recording,2
microphone,sound-card,2
microphone,speakers,2
microphone,headphones,2
sound-card,headset,2
sound-card,headphones,2
permissions,ownership,2
permissions,acl,2
ftp,file-transfer,2
ftp,upload,2
nas,samba,2
nas,nfs,2
nas,smb,2
file-transfer,file-management,2
home-directory,ownership,2
file-management,deduplication,2
cross-platform,lock,2
cross-platform,webdav,2
cross-platform,checksum,2
cross-platform,mercurial,2
cross-platform,portable,2
lock,cifs,2
dropbox,symbolic-link,2
dropbox,upload,2
dropbox,cloud,2
dropbox,cloud-storage,2
symbolic-link,hardlink,2
samba,file-sharing,2
samba,smb,2
samba,cifs,2
upload,cloud-storage,2
file-sharing,smb,2
deduplication,checksum,2
cloud,cloud-storage,2
svn,mercurial,2
svn,diff,2
svn,version-control,2
nfs,acl,2
merge,comparison,2
merge,diff,2
merge,version-control,2
comparison,diff,2
comparison,version-control,2
diff,version-control,2
microsoft-office,slideshow,2
microsoft-office,microsoft-powerpoint,2
microsoft-office,templates,2
microsoft-office,presentations,2
microsoft-office,mail-merge,2
microsoft-word,layout,2
microsoft-word,hyperlink,2
microsoft-word,documents,2
microsoft-word,headers,2
microsoft-word,forms,2
microsoft-word,templates,2
microsoft-word,mail-merge,2
microsoft-word,table-of-contents,2
microsoft-word,styles,2
microsoft-word,spell-check,2
language,spell-check,2
slideshow,concatenation,2
cells,alignment,2
cells,concatenation,2
cells,array,2
alignment,table-of-contents,2
macros,vba,2
layout,table-of-contents,2
csv,mail-merge,2
csv,spreadsheet,2
duplicate,dictionary,2
duplicate,concatenation,2
microsoft-powerpoint,presentations,2
hyperlink,presentations,2
hyperlink,table-of-contents,2
documents,forms,2
headers,table-of-contents,2
headers,styles,2
templates,styles,2
sorting,spreadsheet,2
mail-merge,table-of-contents,2
charts,pivot-table,2
images,processing,2
images,transparency,2
images,image-processing,2
images,photos,2
images,pictures,1
images,gif,2
images,image-editing,2
images,png,2
images,jpeg,2
images,gimp,2
pdf,printing,2
pdf,preview,2
pdf,ebook,2
pdf,scanning,2
pdf,ocr,2
pdf,file-format,3
fonts,rendering,2
colors,gimp,2
printing,network-printer,2
printing,hp-laserjet,2
printing,laser-printer,2
processing,vector-graphics,2
vector-graphics,3d,2
vector-graphics,image-processing,2
vector-graphics,svg,2
vector-graphics,gif,2
3d,image-processing,2
3d,animation,2
export,svg,2
export,png,2
printer,scanner,2
printer,hp-laserjet,2
printer,laser-printer,1
transparency,image-processing,2
transparency,animation,2
transparency,gif,2
transparency,image-editing,2
image-processing,gif,2
clipboard,screenshot,2
kindle,ebook,2
preview,animation,2
selection,highlighting,2
selection,gimp,2
photos,pictures,2
photos,scanning,2
photos,image-editing,2
pictures,scanning,2
pictures,ocr,2
pictures,image-editing,2
svg,gif,2
screenshot,image-editing,2
dpi,scaling,2
dpi,scanning,2
scaling,hp-laserjet,2
productivity,ocr,2
scanning,hp-laserjet,2
scanning,laser-printer,2
file-format,png,2
png,gimp,2
jpeg,gimp,2
network-printer,scanner,2
network-printer,hp-laserjet,2
network-printer,laser-printer,2
scanner,hp-laserjet,2
scanner,laser-printer,2
hp-laserjet,laser-printer,2
security,encryption,2
security,passwords,2
ssh,putty,2
ssh,scp,2
encryption,passwords,2
encryption,public-key,2
encryption,rsa,2
passwords,login,2
passwords,keychain,2
passwords,password-protection,2
passwords,hashing,2
login,authentication,2
login,smartcard,2
login,fingerprint,2
ssl,certificate,2
ssl,https,2
ssl,iis,2
putty,private-key,2
pam,smartcard,2
cryptography,smartcard,2
cryptography,rsa,2
authentication,iis,2
authentication,public-key,2
authentication,rsa,2
authentication,fingerprint,2
authentication,ldap,2
certificate,keychain,2
certificate,smartcard,2
certificate,https,2
certificate,tls,2
certificate,digital-signature,2
keychain,rsa,2
https,curl,2
https,reverse-proxy,2
curl,tls,2
public-key,rsa,2
sftp,scp,2
password-protection,hashing,2
digital-signature,pgp,2
macos,mac,2
macos,finder,2
mac,boot-camp,2
macbook,boot-camp,2
boot-camp,imac,2
boot-camp,parallels,2
imac,parallels,2
finder,spotlight,2
php,mysql,2
php,lamp,2
php,nginx,2
php,mediawiki,2
php,wamp,2
dns,subdomain,2
dns,domain,2
dns,nameserver,2
dns,hosts,2
dns,hosts-file,2
dns,hostname,2
dns,bind,2
webserver,localhost,2
webserver,hosting,2
webserver,lamp,2
webserver,nginx,2
webserver,httpd,2
webserver,web-hosting,2
mysql,wamp,2
subdomain,nameserver,2
subdomain,virtual-host,2
redirection,url,2
redirection,nginx,2
redirection,hosts,2
redirection,hosts-file,2
local,nameserver,2
local,domain-name,2
local,bind,2
domain,hosting,2
domain,nameserver,2
domain,web-hosting,2
domain,hostname,2
domain,bind,2
vps,hosting,2
vps,nameserver,2
vps,web-hosting,2
vps,bind,2
localhost,httpd,2
localhost,virtual-host,2
localhost,hosts,2
localhost,hosts-file,2
localhost,wamp,2
hosting,nameserver,2
hosting,virtual-host,2
hosting,domain-name,2
lamp,virtual-host,2
lamp,mediawiki,2
httpd,virtual-host,2
httpd,wamp,2
home-server,web-hosting,2
home-server,domain-name,2
home-server,wamp,2
web-hosting,domain-name,2
hosts,hosts-file,2
hosts,hostname,2
hosts-file,domain-name,2
hostname,bind,2
email,gmail,2
email,thunderbird,2
email,smtp,2
email,attachments,2
email,rules,2
email,dovecot,2
email,imap,2
email,postfix,2
email,mutt,2
sync,contacts,2
sync,calendar,2
migration,import,2
migration,pst,2
gmail,smtp,2
gmail,imap,2
gmail,postfix,2
gmail,mutt,2
gmail,email-client,2
thunderbird,attachments,2
thunderbird,imap,2
thunderbird,email-client,2
import,contacts,2
import,pst,2
contacts,pst,2
exchange,pst,2
exchange,attachments,2
exchange,rules,2
exchange,calendar,2
exchange,imap,2
exchange,email-client,2
smtp,dovecot,2
smtp,imap,2
smtp,postfix,2
smtp,mutt,2
smtp,email-client,2
attachments,mutt,2
imap,postfix,2
imap,mutt,2
imap,email-client,2
keyboard-shortcuts,keyboard,2
keyboard-shortcuts,hotkeys,2
keyboard-shortcuts,keyboard-layout,2
keyboard-shortcuts,key-binding,2
keyboard,mouse,2
keyboard,function-keys,2
keyboard,keyboard-layout,2
keyboard,keymap,2
keyboard,remapping,2
mouse,bluetooth,2
mouse,scrolling,2
mouse,mouse-click,2
bluetooth,game-controller,2
touchpad,mouse-click,2
touchpad,touchscreen,2
accessibility,mouse-click,2
accessibility,zoom,2
accessibility,cursor,2
hotkeys,keymap,2
hotkeys,key-binding,2
hotkeys,remapping,2
scrolling,touchscreen,2
scrolling,zoom,2
scrolling,cursor,2
lag,input,2
lag,cursor,2
input,touchscreen,2
keyboard-layout,keymap,2
keyboard-layout,key-binding,2
keyboard-layout,remapping,2
keymap,remapping,2
touchscreen,zoom,2
tablet,cursor,2
key-binding,remapping,2
compression,tar,2
compression,archiving,2
compression,rar,2
compression,gzip,2
zip,extract,2
zip,tar,2
zip,archiving,2
zip,rar,2
zip,gzip,2
extract,rar,2
tar,gzip,2
archiving,rar,2
archiving,gzip,2
